word	tag_length	pattern	pattern_count
hémi	42	b-text	26
hottereau	42	text-b-i-text-b-text-i-text	1
jacquart	42	b-text-i-i-text	39
nivereau	42	b-text-i-text-i-b-text-i-text	36
pretantaine	42	b-text-i-i-text	39
roman	42	b-text-b-text-i-b-text-i-text	12
strige	42	b-text-i-text-i-b-text-i-text	36
tramail	42	text-b-i-b-text-i-text	12
badian	41	b-text-i-text-i-b-text-i-text	36
coupe-bourgeons	41	b-text-i-text-i-i-text	52
crémaster	41	b-text-i-text-i-i-text	52
garde-bois	41	b-text-i-text-i-text-i-i-text	34
st!	41	b-i-text	37
avecque	40	b-text-i-text-b-text	5
belle	40	b-text-b-text-i-b-text-i-text	12
capuce	40	b-text-i-text-i-b-text-i-text	36
chauffe-lit	40	b-text-i-text-i-text-i-i-text	34
choucas	40	b-text-i-text-i-b-text-i-text	36
essaie-plume	40	b-text-i-text-i-text-i-i-text	34
fléchisseur	40	b-text-i-text-i-i-text	52
ho!	40	text-b-i-text	12
mirlirot	40	b-text-i-text-b-text-i	2
névritique	40	b-text-i-text-i-i-text	52
patatras!	40	b-i-text	37
pronateur	40	b-text-i-text-i-i-text	52
redondant	40	b-i-b-text-b-text-i-text	7
sapote	40	b-i-text-b-text-i-text	7
test	40	b-text-i-b-text-i-text	30
alpiou	39	b-text-i-i-text	39
bourdaine	39	b-text-i-b-text-i-text	30
bran!	39	b-i-text	37
dorien	39	b-text-i-text-i-i-text	52
garde-nappe	39	b-text-i-text-i-text-i-i-text	34
hai!	39	text-b-i-text	12
harper	39	i-text-b-text-i-text	20
heu!	39	b-i-text	37
houper	39	i-text-b-text-i-text	20
p.	39	b-text	26
phil-	39	b-i-b-text	1
teter	39	b-text-i-b-text-i-text	30
bravo!	38	b-i-text	37
cubage	38	b-text-i-text-i-b-text-i-text	36
guide-âne	38	b-text-i-text-i-text-i-i-text	34
jardon	38	b-text-i-text-i-b-text-i-text	36
mozarabe	38	b-text-i-b-i-text	1
palatale	38	b-text-i-text-i-i-text	52
arnica	37	b-text-i-b-text-i-text	30
aumailles	37	b-text-i-i-text	39
ferme!	37	b-i-text	37
garde-cendre	37	b-text-i-text-i-text-i-i-text	34
hue!	37	text-b-i-text	12
radouci	37	b-text-i-i-text	39
tribunat	37	b-i-text	37
trigame	37	b-text-i-i-text	39
universaux	37	b-text-i-text-b-text-i-text-i	1
yeux	37	b-text-i-text-i-text-b-text-i-text	2
archi	36	b-text	26
hébreu	36	b-text-i-text-i-i-text	52
mde.	36	b-text	26
poulinière	36	b-text-i-i-text	39
b-fa-si	35	b-text	26
bohé	35	b-i-b-text-i-text-i-i-text	2
cafier	35	b-text-i-b-text-i-text	30
ct	35	b-text-b-text	9
d.m.	35	b-text	26
essuie-main	35	b-text-i-text-i-text-i-i-text	34
hâler	35	i-text-b-text-i-text	20
henriade	35	b-text-b-text	9
hydr	35	b-text-b-text	9
laquelle	35	b-text-i-i-text	39
luminade	35	b-text-i-i-text	39
piperesse	35	b-text-i-text-b-text-i	2
bauque	34	b-text-i-b-text-i-text	30
érigne	34	text-b-i-b-text-i-text	12
gastro	34	b-text	26
gommeux	34	b-text-i-i-text	39
haïe!	34	text-b-i-text	12
malai	34	b-i-b-text-b-text-i-text	7
md.	34	b-text	26
pent	34	b-text-b-text	9
suffragant	34	b-text-i-text-i-i-text	52
vignot	34	text-b-i-b-text-i-text	12
cᵗᵉˢˢᵉ	33	b-text-b-text	9
gentil	33	b-text-i-text-i-i-text	52
iléon	33	b-i-text	37
pseudo	33	b-text	26
cathédra	32	i-b-text	2
proto	32	b-text	26
parbleu!	31	b-i-text	37
poly-	31	b-text	26
tétra	31	b-text	26
archal	30	b-text-i-i-text	39
cⁱᵉ.	30	b-text	26
corymbé	30	b-text-b-text	9
mono	30	b-text	26
vélaut!	30	b-i-text	37
hahé!	29	text-b-i-text	12
hé!	29	text-b-i-text	12
phrasé	29	b-text-b-text-i-i-text	14
siroco	29	b-i-text-b-text-i-text	7
néo	28	b-text	26
nervin	28	b-text-i-text-i-i-text	52
nord	28	b-text-i-i-text	39
onciale	28	b-text-i-text-i-i-text	52
pan!	28	b-i-text	37
hare!	27	text-b-i-text	12
o.	27	b-text	26
paix!	27	b-i-text	37
turlututu!	27	b-i-text	37
décatissage	26	b-i-text	37
chᵉʳ.	25	b-text	26
qu’	24	b-text	26
cᵗᵉ	23	b-text-b-text	9
pouah!	23	b-i-text	37
tête-bleu!	23	b-i-text	37
tête-dieu!	23	b-i-text	37
hom!	22	text-b-i-text	12
mame	22	b-text-b-text	9
ventrebleu!	22	b-i-text	37
ex	21	b-text	26
hein!	21	b-i-text	37
hélas!	21	b-i-text	37
morbleu!	21	b-i-text	37
aulx	17	b-text-i-text-b-text	5
ha!	17	text-b-i-text	12
hem!	15	text-b-i-text	12
oh!	15	b-i-text	37
d’	13	b-text-b-text	9
ouf!	13	b-i-text	37
a	7	b-text	26
